term,occurrences,rank,product_id,category,name,price_value,quantity,dietary
beverage,42,15,12714946,drinks,[BCRS] Dasani Drinking Bottle Water,8.4,24 x 600ml (CTN),
beverage,42,16,13281362,drinks,[BCRS] Coca-Cola Can Drink - Zero Sugar,8.75,12 x 320ml,
beverage,42,17,12704723,drinks,Pokka Packet Drink - Oolong Tea (No Sugar Added),7.55,24 x 250ml (CTN),Halal
beverage,42,18,12714758,drinks,[BCRS] Life Distilled Drinking Bottle Water,7.0,12 x 1.5L,
beverage,42,19,13281412,drinks,[BCRS] Coca-Cola Mini Can Drink - Zero Sugar,5.25,6 x 180ml,Halal
beverage,42,20,13281057,drinks,[BCRS] Coca-Cola Bottle Drink - Zero Sugar,2.6,1.5L,
babyfood,46,1,12302241,baby-child-toys,"Rafferty's Garden Baby Food - Blueberry, Banana & Apple",3.48,120g,
babyfood,46,2,13198051,baby-child-toys,Gerber Puree Baby Food After 6 Months - Prunes,2.11,80g,
babyfood,46,3,13018597,baby-child-toys,Rafferty's Garden Baby Food - Pear & Superberries,3.48,120g,
babyfood,46,4,12441276,baby-child-toys,Rafferty's Garden Baby Food - Pear & Apricot,3.48,120g,
babyfood,46,5,12302292,baby-child-toys,"Rafferty's Garden Baby Food - Pumpkin, Apple & Sweetcorn",3.48,120g,
babyfood,46,6,13233732,baby-child-toys,Rafferty's Garden Baby Food Puree - Summer Fruits & Quinoa,3.48,120g,
babyfood,46,7,12302321,baby-child-toys,"Rafferty's Garden Baby Food - Spinach, Apple, Broccoli & Pea",3.48,120g,
babyfood,46,8,13198052,baby-child-toys,Gerber Puree Baby Food After 6 Months - Applesauce,2.11,80g,
babyfood,46,9,13233632,baby-child-toys,"Rafferty's Garden Baby Food - Brown Rice, Bean & Pumpkin",3.48,120g,
