term,occurrences,rank,product_id,name,price_value,quantity,dietary
nuts,77,8,13237058,Camel Mixed Snacks - Bundle Pack,6.66,12 x 36g,Halal
nuts,77,9,13292814,FairPrice Trail Mix - Glow Booster,7.7,7 x 25g,
nuts,77,10,13183194,FairPrice Snacks - Mixed Nuts (Premium),6.01,150g,Halal
nuts,77,11,13292826,FairPrice Trail Mix - Vitality Booster,7.7,7 x 25g,
nuts,77,12,10878597,Nature's Wonders Fruits & Nuts Fusion,6.95,270g,
nuts,77,13,13185120,Tong Garden Nutrione Baked Nuts & Dried Fruit - Mango Tango,10.08,7 x 28g,Halal
nuts,77,14,13183196,FairPrice Natural Fruits & Nuts,11.51,400g,Halal
nuts,77,15,11241328,Camel Natural Baked Cocktail Mix,12.12,400g,
nuts,77,16,13048945,Tong Garden Roasted Salted Nuts - Cocktail,10.9,400g,Halal
nuts,77,17,10999209,Tai Sun Oriental Mix,1.55,150g,
nuts,77,18,13037223,Tong Garden Party Snack (Freshly Roasted),4.05,400g,
nuts,77,19,11036455,Tai Sun Coated Green Peas,1.55,140g,
nuts,77,20,13050035,Nature's Wonders Nuts Mix - Macadamia & Cashews,5.6,150g,Halal
pretzels,43,1,491837,Mitsuya Tasty Biscuit Stick,1.9,40g,
pretzels,43,2,297756,Meiji Yan Yan Stick Biscuits - Chocolate,1.37,50g,
pretzels,43,3,13072764,Glico Pocky Biscuit Sticks Share Pack - Chocolate,4.89,8 x 22g,Halal
pretzels,43,4,475469,Meiji Yan Yan Stick Biscuits - Chocolate & Strawberry,1.37,44g,
pretzels,43,5,13072765,Glico Pocky Biscuit Sticks Share Pack - Strawberry,4.89,8 x 21g,Halal
pretzels,43,6,297764,Meiji Yan Yan Stick Biscuits - Strawberry,1.37,50g,
pretzels,43,7,12128845,Meiji Yan Yan Stick Biscuits - Choco-Hazelnut,1.37,44g,
pretzels,43,8,12403819,Meiji Yan Yan Stick Biscuits - Tsukebo Chocolate (Double Dip),1.37,48g,
pretzels,43,9,435950,Meiji Yan Yan Stick Biscuits - Vanilla,1.37,50g,
pretzels,43,10,13078118,Glico Pocky Biscuit Sticks - Chocolate,1.43,47g,
pretzels,43,11,13221380,Meiji Lucky Biscuit Stick - Strawberry,2.7,120g,Halal
